Albany, NY,42.66666667,-73.75,-5 UTC
Albuquerque, NM,35.08333333,-106.65,-7 UTC
Amarillo, Tex,35.18333333,-101.8333333,-6 UTC
Anchorage, Alaska,61.21666667,-149.9,-9 UTC
Atlanta, Ga,33.75,-84.38333333,-5 UTC
Austin, Tex,30.26666667,-97.73333333,-6 UTC
Baker, Ore,44.78333333,-117.8333333,-8 UTC
Baltimore, Md,39.3,-76.63333333,-5 UTC
Bangor, Maine,44.8,-68.78333333,-5 UTC
Birmingham, Ala,33.5,-86.83333333,-6 UTC
Bismarck, ND,46.8,-100.7833333,-6 UTC
Boise, Idaho,43.6,-116.2166667,-7 UTC
Boston, Mass,42.35,-71.08333333,-5 UTC
Buffalo, NY,42.91666667,-78.83333333,-5 UTC
Calgary, Alba; Canada,51.01666667,-114.0166667,-7 UTC
Carlsbad, NM,32.43333333,-104.25,-7 UTC
Charleston, SC,32.78333333,-79.93333333,-5 UTC
Charleston, W Va,38.35,-81.63333333,-5 UTC
Charlotte, NC,35.23333333,-80.83333333,-5 UTC
Cheyenne, Wyo,41.15,-104.8666667,-7 UTC
Chicago, Ill,41.83333333,-87.61666667,-6 UTC
Cincinnati, Ohio,39.13333333,-84.5,-5 UTC
Cleveland, Ohio,41.46666667,-81.61666667,-5 UTC
Columbia, SC,34,-81.03333333,-5 UTC
Columbus, Ohio,40,-83.01666667,-5 UTC
Dallas, Tex,32.76666667,-96.76666667,-6 UTC
Denver, Colo,39.75,-105,-7 UTC
Des Moines, Iowa,41.58333333,-93.61666667,-6 UTC
Detroit, Mich,42.33333333,-83.05,-5 UTC
Dubuque, Iowa,42.51666667,-90.66666667,-6 UTC
Duluth, Minn,46.81666667,-92.08333333,-6 UTC
Eastport, Maine,44.9,-67,-5 UTC
Edmonton, Alb; Canada,53.56666667,-113.4666667,-7 UTC
El Centro, Calif,32.63333333,-115.55,-8 UTC
El Paso, Tex,31.76666667,-106.4833333,-7 UTC
Eugene, Ore,44.05,-123.0833333,-8 UTC
Fargo, ND,46.86666667,-96.8,-6 UTC
Flagstaff, Ariz,35.21666667,-111.6833333,-7 UTC
Fort Worth, Tex,32.71666667,-97.31666667,-6 UTC
Fresno, Calif,36.73333333,-119.8,-8 UTC
Grand Junction, Colo,39.08333333,-108.55,-7 UTC
Grand Rapids, Mich,42.96666667,-85.66666667,-5 UTC
Havre, Mont,48.55,-109.7166667,-7 UTC
Helena, Mont,46.58333333,-112.0333333,-7 UTC
Honolulu, Hawaii,21.3,-157.8333333,-10 UTC
Hot Springs, Ark,34.51666667,-93.05,-6 UTC
Houston, Tex,29.75,-95.35,-6 UTC
Idaho Falls, Idaho,43.5,-112.0166667,-7 UTC
Indianapolis, Ind,39.76666667,-86.16666667,-5 UTC
Jackson, Miss,32.33333333,-90.2,-6 UTC
Jacksonville, Fla,30.36666667,-81.66666667,-5 UTC
Juneau, Alaska,58.3,-134.4,-9 UTC
Kansas City, Mo,39.1,-94.58333333,-6 UTC
Key West, Fla,24.55,-81.8,-5 UTC
Kingston, Ont; Canada,44.25,-76.5,-5 UTC
Klamath Falls, Ore,42.16666667,-121.7333333,-8 UTC
Knoxville, Tenn,35.95,-83.93333333,-5 UTC
Las Vegas, Nev,36.16666667,-115.2,-8 UTC
Lewiston, Idaho,46.4,-117.0333333,-8 UTC
Lincoln, Neb,40.83333333,-96.66666667,-6 UTC
London, Ont; Canada,43.03333333,-81.56666667,-5 UTC
Long Beach, Calif,33.76666667,-118.1833333,-8 UTC
Los Angeles, Calif,34.05,-118.25,-8 UTC
Louisville, Ky,38.25,-85.76666667,-5 UTC
Manchester, NH,43,-71.5,-5 UTC
Memphis, Tenn,35.15,-90.05,-6 UTC
Miami, Fla,25.76666667,-80.2,-5 UTC
Milwaukee, Wis,43.03333333,-87.91666667,-6 UTC
Minneapolis, Minn,44.98333333,-93.23333333,-6 UTC
Mobile, Ala,30.7,-88.05,-6 UTC
Montgomery, Ala,32.35,-86.3,-6 UTC
Montpelier, Vt,44.25,-72.53333333,-5 UTC
Montreal, Que; Canada,45.5,-73.58333333,-5 UTC
Moose Jaw, Sask; Canada,50.61666667,-105.5166667,-6 UTC
Nashville, Tenn,36.16666667,-86.78333333,-6 UTC
Nelson, BC; Canada,49.5,-117.2833333,-8 UTC
Newark, NJ,40.73333333,-74.16666667,-5 UTC
New Haven, Conn,41.31666667,-72.91666667,-5 UTC
New Orleans, La,29.95,-90.06666667,-6 UTC
New York, NY,40.78333333,-73.96666667,-5 UTC
Nome, Alaska,64.41666667,-165.5,-9 UTC
Oakland, Calif,37.8,-122.2666667,-8 UTC
Oklahoma City, Okla,35.43333333,-97.46666667,-6 UTC
Omaha, Neb,41.25,-95.93333333,-6 UTC
Ottawa, Ont; Canada,45.4,-75.71666667,-5 UTC
Philadelphia, Pa,39.95,-75.16666667,-5 UTC
Phoenix, Ariz,33.48333333,-112.0666667,-7 UTC
Pierre, SD,44.36666667,-100.35,-6 UTC
Pittsburgh, Pa,40.45,-79.95,-5 UTC
Portland, Maine,43.66666667,-70.25,-5 UTC
Portland, Ore,45.51666667,-122.6833333,-8 UTC
Providence, RI,41.83333333,-71.4,-5 UTC
Quebec, Que; Canada,46.81666667,-71.18333333,-5 UTC
Raleigh, NC,35.76666667,-78.65,-5 UTC
Reno, Nev,39.5,-119.8166667,-8 UTC
Richfield, Utah,38.76666667,-112.0833333,-7 UTC
Richmond, Va,37.55,-77.48333333,-5 UTC
Roanoke, Va,37.28333333,-79.95,-5 UTC
Sacramento, Calif,38.58333333,-121.5,-8 UTC
St. John, NB; Canada,45.3,-66.16666667,-4 UTC
St. Louis, Mo,38.58333333,-90.2,-6 UTC
Salt Lake City, Utah,40.76666667,-111.9,-7 UTC
San Antonio, Tex,29.38333333,-98.55,-6 UTC
San Diego, Calif,32.7,-117.1666667,-8 UTC
San Francisco, Calif,37.78333333,-122.4333333,-8 UTC
San Jose, Calif,37.33333333,-121.8833333,-8 UTC
San Juan, PR,18.5,-66.16666667,-4 UTC
Santa Fe, NM,35.68333333,-105.95,-7 UTC
Savannah, Ga,32.08333333,-81.08333333,-5 UTC
Seattle, Wash,47.61666667,-122.3333333,-8 UTC
Shreveport, La,32.46666667,-93.7,-6 UTC
Sioux Falls, SD,43.55,-96.73333333,-6 UTC
Sitka, Alaska,57.16666667,-135.25,-9 UTC
Spokane, Wash,47.66666667,-117.4333333,-8 UTC
Springfield, Ill,39.8,-89.63333333,-6 UTC
Springfield, Mass,42.1,-72.56666667,-5 UTC
Springfield, Mo,37.21666667,-93.28333333,-6 UTC
Syracuse, NY,43.03333333,-76.13333333,-5 UTC
Tampa, Fla,27.95,-82.45,-5 UTC
Toledo, Ohio,41.65,-83.55,-5 UTC
Toronto, Ont; Canada,43.66666667,-79.4,-5 UTC
Tulsa, Okla,36.15,-95.98333333,-6 UTC
Vancouver, BC; Canada,49.21666667,-123.1,-8 UTC
Victoria, BC; Canada,48.41666667,-123.35,-8 UTC
Virginia Beach, Va,36.85,-75.96666667,-5 UTC
Washington, DC,38.88333333,-77.03333333,-5 UTC
Wichita, Kan,37.71666667,-97.28333333,-6 UTC
Wilmington, NC,34.23333333,-77.95,-5 UTC
Winnipeg, Man; Canada,49.9,-97.11666667,-6 UTC
