Irkutsk, Russia,52.5,104.3333333,-16 UTC
Chihuahua, Mexico,28.61666667,-106.0833333,-7 UTC
Mazatlan, Mexico,23.2,-106.4166667,-7 UTC
Guatemala City, Guatemala,14.61666667,-90.51666667,-6 UTC
Mexico City, Mexico,19.43333333,-99.11666667,-6 UTC
Veracruz, Mexico,19.16666667,-96.16666667,-6 UTC
Bogota, Colombia,4.533333333,-74.25,-5 UTC
Havana, Cuba,23.13333333,-82.38333333,-5 UTC
Guayaquil, Ecuador,-2.166666667,-79.93333333,-5 UTC
Kingston, Jamaica,17.98333333,-76.81666667,-5 UTC
Panama City, Panama,8.966666667,-79.53333333,-5 UTC
Lima, Peru,-12,-77.03333333,-5 UTC
La Paz, Bolivia,-16.45,-68.36666667,-4 UTC
Iquique, Chile,-20.16666667,-70.11666667,-4 UTC
Santiago, Chile,-33.46666667,-70.75,-4 UTC
Georgetown, Guyana,6.75,-58.25,-4 UTC
Asuncion, Paraguay,-25.25,-57.66666667,-4 UTC
Caracas, Venezuela,10.46666667,-67.03333333,-4 UTC
Buenos Aires, Argentina,-34.58333333,-58.36666667,-3 UTC
Cordoba, Argentina,-31.46666667,-64.16666667,-3 UTC
Belem, Brazil,-1.466666667,-48.48333333,-3 UTC
Rio de Janeiro, Brazil,-22.95,-43.2,-3 UTC
Salvador, Brazil,-12.93333333,-38.45,-3 UTC
São Paulo, Brazil,-23.51666667,-46.51666667,-3 UTC
Cayenne, French Guiana,4.816666667,-52.3,-3 UTC
Paramaribo, Suriname,5.75,-55.25,-3 UTC
Montevideo, Uruguay,-34.88333333,-56.16666667,-3 UTC
Birmingham, England,52.41666667,-1.916666667,+0 UTC
Bristol, England,51.46666667,-2.583333333,+0 UTC
Leeds, England,53.75,-1.5,+0 UTC
Liverpool, England,53.41666667,-3,+0 UTC
London, England,51.53333333,-0.083333333,+0 UTC
Manchester, England,53.5,-2.25,+0 UTC
Newcastle-on-Tyne, England,54.96666667,-1.616666667,+0 UTC
Plymouth, England,50.41666667,-4.083333333,+0 UTC
Reykjavík, Iceland,64.06666667,-21.96666667,+0 UTC
Dublin, Ireland,53.33333333,-6.25,+0 UTC
Belfast, Northern Ireland,54.61666667,-5.933333333,+0 UTC
Lisbon, Portugal,38.73333333,-9.15,+0 UTC
Aberdeen, Scotland,57.15,-2.15,+0 UTC
Edinburgh, Scotland,55.91666667,-3.166666667,+0 UTC
Glasgow, Scotland,55.83333333,-4.25,+0 UTC
Dakar, Senegal,14.66666667,-17.46666667,+0 UTC
Algiers, Algeria,36.83333333,3,+1 UTC
Vienna, Austria,48.23333333,16.33333333,+1 UTC
Brussels, Belgium,50.86666667,4.366666667,+1 UTC
Kinshasa, Congo,-4.3,15.28333333,+1 UTC
